题目,评委ID,TOPSIS_熵权,TOPSIS_CRITIC,TOPSIS_CV,TOPSIS_标准差,TOPSIS_PCA,TOPSIS_GRA,排名_熵权,排名_CRITIC,排名_CV,排名_标准差,排名_PCA,排名_GRA
D,专家D36,0.4602028157543826,0.6352757318584675,0.5325250809913384,0.6357330014617469,0.6434840379537464,0.6402334605263684,43,27,38,28,33,28
D,专家D37,0.6075341764551606,0.5932471082601827,0.6064452326174614,0.614148319988602,0.7267356198175435,0.6188841364591854,20,34,22,31,13,32
D,专家D38,0.6362829745486009,0.7549960731997872,0.6846809193919896,0.7533292426652707,0.7590024694817963,0.7551278933479417,15,5,11,5,8,5
D,专家D39,0.4161675379239421,0.6033298892319026,0.49446930944752143,0.5980841357064701,0.5898609025156825,0.6003746049766059,49,32,44,36,46,36
D,专家D40,0.5536340543487752,0.6508079235555903,0.5946647028584768,0.658009938625915,0.6936906544839957,0.662248066350268,26,23,26,22,20,21
D,专家D41,0.36979240810849673,0.5059947660937371,0.429384611312688,0.5157906427460794,0.5736322597241594,0.5208638933846732,61,56,60,56,49,55
D,专家D42,0.7441982079072524,0.7818250134483162,0.7587219771983215,0.7796643814351654,0.7684262087024984,0.7802148151126218,4,3,3,3,5,3
D,专家D43,0.6497174261192036,0.7061513692409116,0.670580054032157,0.6924711241290413,0.6303204030905316,0.6901689664081956,13,9,13,12,35,14
D,专家D44,0.39715643357546665,0.4910551942150948,0.44417628964417943,0.514085487457625,0.6428292727553622,0.5207393024798458,53,61,56,57,34,56
D,专家D45,0.7360657028234722,0.7301494534436734,0.7305499283552513,0.7240733352793879,0.6834868406326893,0.7236122996356111,6,7,5,7,24,7
D,专家D46,0.6245523038432964,0.6484160282486908,0.6390880965902982,0.6606250867487126,0.7365980072329606,0.6629796308712769,18,25,18,20,12,20
D,专家D47,0.4040398927287222,0.4993656986624806,0.45285921391311945,0.5267837406973516,0.6759757549230563,0.5347240084844838,51,58,53,50,25,50
D,专家D48,0.36124135728869344,0.45658314447652876,0.4049651316689853,0.47321443728999063,0.5397023370878358,0.48002832076284246,63,63,64,62,52,62
