题目,评委ID,阅卷量,信度,效度,公平性,区分力,评分均值,评分标准差,获奖率,公平性_raw,TOPSIS得分,排名,TOPSIS等权,排名等权,聚类,Silhouette,分层,信度_排名,效度_排名,公平性_排名,区分力_排名
B,专家B16,102,0.5793456992160471,0.596605855997116,-1.7164881306277797,9.15277336573489,67.24509803921569,9.15277336573489,0.4117647058823529,1.7164881306277797,0.3370587610197223,52,0.4159938901710739,51,1,0.2503325727755938,合格,37,43,50,54
B,专家B17,102,0.6600413632548136,0.7374774178562521,-0.5607414362260135,13.190410460049192,46.333333333333336,13.190410460049192,0.4411764705882353,0.5607414362260135,0.5716936102278871,24,0.6622251878278054,20,0,0.2503325727755938,良好,19,8,28,34
B,专家B18,102,0.5110808153379769,0.647780816669808,-0.39691206657185396,13.214424359371764,55.127450980392155,13.214424359371764,0.4215686274509804,0.39691206657185396,0.5042907755031475,34,0.5739353254289287,34,0,0.2503325727755938,良好,47,34,22,33
B,专家B19,100,0.5314701565894151,0.5272041926409566,-1.020649993567447,10.569668868985442,42.11,10.569668868985442,0.39,1.020649993567447,0.3537828867576345,50,0.43115647036015076,50,1,0.2503325727755938,合格,44,51,41,47
B,专家B20,102,0.7274469245382316,0.5998565166584868,-0.14970843892704014,19.36284437800311,50.1078431372549,19.36284437800311,0.3333333333333333,0.14970843892704014,0.7637417417426458,5,0.7501426080393914,7,2,0.2503325727755938,优秀,8,42,13,3
B,专家B21,100,0.6432278619683388,0.5792012407165273,-0.4772536949564558,13.835823069120247,47.1,13.835823069120247,0.44,0.4772536949564558,0.5325127221995232,30,0.5942025375556707,29,0,0.2503325727755938,良好,25,45,26,30
B,专家B22,101,0.5384719043090974,0.7187725816271584,-1.3280523600766625,9.472562393057315,39.28712871287129,9.472562393057315,0.32673267326732675,1.3280523600766625,0.40304532851899944,47,0.49692009538244875,43,1,0.2503325727755938,合格,41,17,49,53
B,专家B23,101,0.6627475430631714,0.7905599794293827,-0.7070156966509387,10.656188690894114,44.99009900990099,10.656188690894114,0.42574257425742573,0.7070156966509387,0.5075768409441641,33,0.6183285828545008,26,0,0.2503325727755938,良好,17,2,33,46
B,专家B24,99,0.5729043397437314,0.593116329222879,-0.6080401565763563,13.970745010607455,45.898989898989896,13.970745010607455,0.36363636363636365,0.6080401565763563,0.5176635392932383,31,0.5703419424117095,35,0,0.2503325727755938,良好,38,44,30,26
B,专家B25,101,0.6505949198864822,0.6531715785232651,-1.1684804396131088,11.324560132295707,40.75247524752475,11.324560132295707,0.39603960396039606,1.1684804396131088,0.4576605639000893,40,0.5451653923783747,38,1,0.2503325727755938,合格,21,32,45,41
B,专家B26,101,0.6554969339626517,0.6536923348976552,-2.377682036093848,15.500195267418574,73.31683168316832,15.500195267418574,0.3564356435643564,2.377682036093848,0.5500439127178601,28,0.5323644766583363,41,1,0.2503325727755938,合格,20,31,53,18
B,专家B27,101,0.5289852782078136,0.7082422624310547,-0.28436574515287594,11.896969716793834,48.87128712871287,11.896969716793834,0.38613861386138615,0.28436574515287594,0.49548277051762724,35,0.5900734852444179,32,0,0.2503325727755938,良好,45,19,16,38
B,专家B28,102,0.6491395222851689,0.7361055975699764,-0.11874751185776714,14.331616538368763,50.3921568627451,14.331616538368763,0.43137254901960786,0.11874751185776714,0.6214522637334229,16,0.703544111808962,13,0,0.2503325727755938,良好,22,9,11,25
B,专家B29,13,0.6389998794792409,0.6396021490668314,-2.196989475823366,15.513689316633156,31.307692307692307,15.513689316633156,0.23076923076923078,2.196989475823366,0.5480118124635328,29,0.5327991389087732,40,1,0.2503325727755938,合格,28,35,52,17
B,专家B30,102,0.4854199004589108,0.5738399697641127,-0.708072744348763,12.272223053291624,44.98039215686274,12.272223053291624,0.47058823529411764,0.708072744348763,0.4226957527025421,44,0.48855487793544633,44,1,0.2503325727755938,合格,48,46,34,35
B,专家B31,101,0.5977831778920881,0.6571616192949827,-0.3619953280810915,11.678644870244733,48.15841584158416,11.678644870244733,0.43564356435643564,0.3619953280810915,0.48520777451673547,37,0.5842143488623697,33,0,0.2503325727755938,良好,33,30,19,39
B,专家B32,100,0.531608606091662,0.7203722588826674,-0.26433524162487587,9.791930351059488,53.91,9.791930351059488,0.45,0.26433524162487587,0.447491812278054,42,0.5600853607755102,36,0,0.2503325727755938,良好,43,16,15,52
B,专家B33,100,0.6372031039736433,0.757053977872101,-1.21775366099949,15.069505632236249,40.3,15.069505632236249,0.44,1.21775366099949,0.6174849931810173,18,0.6598829806361699,21,2,0.2503325727755938,优秀,29,5,47,20
B,专家B34,101,0.6407966549848385,0.6731079305945589,-1.3269741714248815,14.668984289589606,39.2970297029703,14.668984289589606,0.44554455445544555,1.3269741714248815,0.5694351320171869,25,0.6063686276975078,28,1,0.2503325727755938,合格,27,27,48,23
B,专家B35,101,0.4511353497871616,0.699861152380281,-0.6132132839460109,14.819298455231442,45.851485148514854,14.819298455231442,0.40594059405940597,0.6132132839460109,0.5532387795154458,27,0.5905756790597922,31,0,0.2503325727755938,良好,50,23,32,21
B,专家B36,100,0.5368982207869274,0.6156580118504421,-1.1458816054717833,11.102179966114763,40.96,11.102179966114763,0.31,1.1458816054717833,0.40170391523245924,48,0.4798775072212394,45,1,0.2503325727755938,合格,42,39,44,43
B,专家B37,102,0.580668138041028,0.5248457196084546,-2.451009434891918,10.292292088361148,73.99019607843137,10.292292088361148,0.5,2.451009434891918,0.30023287598947407,54,0.34030605527713637,53,1,0.2503325727755938,合格,36,52,54,51
B,专家B38,101,0.4135651787112157,0.6863171003627495,-0.08006201914902485,11.397067505749654,52.21782178217822,11.397067505749654,0.43564356435643564,0.08006201914902485,0.45288498172647124,41,0.5418383914968529,39,0,0.2503325727755938,良好,51,24,8,40
B,专家B39,101,0.6726627811575675,0.7076715672681134,-0.00782337947971302,17.749899036123256,51.554455445544555,17.749899036123256,0.5148514851485149,0.00782337947971302,0.7551548310484693,6,0.784125389029811,3,2,0.2503325727755938,优秀,14,20,2,6
B,专家B40,101,0.6432954213297075,0.7288281228951625,-0.5668511719194385,18.78334991152104,46.277227722772274,18.78334991152104,0.38613861386138615,0.5668511719194385,0.7774806059878563,4,0.7758362715294421,4,2,0.2503325727755938,优秀,24,10,29,4
B,专家B41,102,0.7285271731753095,0.7277094090177536,-0.006647603503501472,15.837679243308273,51.42156862745098,15.837679243308273,0.4019607843137255,0.006647603503501472,0.6990248313857548,9,0.7690079403688852,5,2,0.2503325727755938,优秀,7,13,1,14
